Sample No,Leaf Petiole Length (cm),Branch Angle (degrees),Leaf Length (cm),Leaf Width (cm),Leaf Aspect Ratio,Outcome
96,1.1,0,9.0,5.0,1.81,2
97,0.8,0,12.2,4.8,2.55,2
98,1.3,0,14.8,4.7,3.14,2
99,0.9,0,10.3,4.6,2.25,2
100,0.7,0,8.3,4.2,1.99,2
101,7.5,50,18.0,11.0,1.60,3
102,9.0,55,22.0,13.0,1.70,3
103,6.2,48,20.0,12.0,1.70,3
104,8.1,52,25.0,15.0,1.70,3
105,10.0,60,30.0,18.0,1.70,3
106,7.8,47,17.0,10.0,1.70,3
107,8.5,53,19.0,11.0,1.70,3
108,9.3,56,23.0,14.0,1.60,3
109,7.0,49,21.0,13.0,1.60,3
110,11.2,58,27.0,16.0,1.70,3
111,6.5,51,16.0,12.0,1.30,3
112,8.7,54,20.0,14.0,1.40,3
113,9.8,57,22.0,15.0,1.50,3
114,7.3,50,18.0,11.0,1.60,3
115,8.9,53,24.0,12.0,2.00,3
116,9.1,59,26.0,17.0,1.50,3
117,6.8,48,20.0,13.0,1.50,3
118,10.5,55,28.0,19.0,1.50,3
119,7.6,52,15.0,10.0,1.50,3
120,9.4,54,22.0,14.0,1.60,3
121,8.0,49,18.0,12.0,1.50,3
122,10.2,56,27.0,16.0,1.70,3
123,7.7,51,21.0,13.0,1.60,3
124,8.6,53,19.0,14.0,1.40,3
125,9.6,58,25.0,17.0,1.50,3
126,6.3,50,16.0,11.0,1.50,3
127,11.0,59,30.0,18.0,1.70,3
128,7.2,47,17.0,10.0,1.70,3
129,8.8,56,23.0,12.0,1.90,3
130,9.7,54,20.0,13.0,1.50,3
131,6.9,51,22.0,15.0,1.50,3
132,10.1,57,26.0,17.0,1.50,3
133,8.3,50,19.0,13.0,1.50,3
134,9.2,55,24.0,16.0,1.50,3
135,7.4,52,18.0,12.0,1.50,3
136,11.3,59,29.0,19.0,1.50,3
137,7.9,48,21.0,14.0,1.50,3
138,8.4,54,22.0,12.0,1.80,3
139,9.9,56,26.0,15.0,1.70,3
140,6.7,49,20.0,14.0,1.40,3
141,10.4,57,28.0,17.0,1.60,3
142,8.2,51,16.0,11.0,1.50,3
143,9.5,53,23.0,14.0,1.60,3
144,7.1,50,19.0,12.0,1.60,3
145,10.3,56,27.0,18.0,1.50,3
146,8.0,52,20.0,13.0,1.50,3
147,9.0,55,22.0,15.0,1.50,3
148,7.8,48,18.0,16.0,1.13,3
149,6.3,50,22.0,12.0,1.83,3
150,7.9,46,23.0,18.0,1.28,3
