Sample No,Leaf Petiole Length (cm),Branch Angle (degrees),Leaf Length (cm),Leaf Width (cm),Leaf Aspect Ratio,Outcome
47,7.14,42.1,13.94,5.13,2.72,1
48,5.61,38.6,7.98,5.53,1.45,1
49,8.74,55.9,14.09,4.4,3.18,1
50,6.25,41.7,10.71,4.39,2.44,1
51,0.82,0,12.3,5.75,2.14,2
52,1.01,0,10.54,5.6,1.87,2
53,0.78,0,15.42,4.8,3.21,2
54,1.27,0,14.08,5.68,2.48,2
55,0.95,0,9.21,5.63,1.63,2
56,0.69,0,13.57,4.61,2.94,2
57,1.12,0,11.84,5.81,2.04,2
58,0.89,0,8.97,5.22,1.72,2
59,1.04,0,14.78,4.76,3.1,2
60,0.75,0,12.41,5.29,2.35,2
61,1.31,0,7.82,5.2,1.5,2
62,0.98,0,13.05,4.73,2.76,2
63,0.67,0,9.54,4.84,1.97,2
64,1.14,0,15.72,4.59,3.42,2
65,0.86,0,11.27,5.12,2.19,2
66,0.92,0,8.41,4.57,1.84,2
67,1.07,0,12.01,4.68,2.58,2
68,0.79,0,14.15,4.69,3.02,2
69,1.24,0,8.9,5.31,1.67,2
70,0.83,0,13.82,4.82,2.87,2
71,1,0,10,5,2,2
72,0.73,0,14.99,4.5,3.33,2
73,1.18,0,9.18,5.24,1.76,2
74,0.9,0,11.73,4.78,2.45,2
75,0.64,0,8.27,4.34,1.91,2
76,1.35,0,15.21,4.77,3.18,2
77,1.03,0,10.89,4.8,2.27,2
78,0.71,0,7.54,5.32,1.42,2
79,1.21,0,13.47,4.75,2.84,2
80,0.88,0,9.71,4.63,2.09,2
81,0.97,0,14.91,4.6,3.24,2
82,0.7,0,8.74,4.62,1.89,2
83,1.15,0,12.38,4.71,2.64,2
84,0.84,0,10.47,4.75,2.22,2
85,1.02,0,8.09,5.14,1.58,2
86,0.77,0,13.9,4.68,2.97,2
87,1.2,0,9.24,5.38,1.71,2
88,0.93,0,14.52,4.71,3.08,2
89,0.66,0,8.52,4,2.15,2
90,1.32,0,11.52,4.8,2.4,2
91,1.05,0,9.47,4.88,1.94,2
92,0.74,0,13.14,4.7,2.79,2
93,1.19,0,15.98,4.55,3.51,2
94,0.87,0,8.87,5.23,1.69,2
95,0.95,0,10.74,4.62,2.32,2
96,1.08,0,9.01,5,1.81,2
97,0.8,0,12.17,4.77,2.55,2
98,1.25,0,14.81,4.72,3.14,2
99,0.91,0,10.29,4.59,2.25,2
100,0.68,0,8.34,4.18,1.99,2
101,5.21,20.84,5.39,42.7,3.87,3
102,4.83,14.56,5,58.4,2.91,3
103,6.17,26.78,6.2,34.9,4.32,3
104,4.59,16.13,4.56,47.2,3.54,3
105,5.74,15.82,5.76,39.1,2.76,3
106,6.38,32.87,6.42,51.3,5.12,3
107,4.92,20.14,4.94,45.5,4.08,3
108,5.46,17.49,5.42,36.8,3.21,3
109,6.01,15.78,6.04,55.1,2.63,3
110,4.73,17.84,4.7,40.2,3.78,3
111,5.89,26.81,5.86,32.4,4.57,3
112,4.35,13.54,4.32,53.9,3.14,3
113,6.42,34.17,6.45,38.6,5.29,3
114,5.07,14.39,5.04,48.7,2.84,3
115,5.52,22.97,5.5,35.3,4.18,3
116,4.61,18.12,4.6,41.5,3.94,3
117,6.15,15.43,6.13,56.2,2.51,3
118,4.89,23.01,4.87,37.9,4.72,3
119,5.33,18.42,5.31,50,3.45,3
120,6.48,32.64,6.46,44.1,5.04,3
121,4.56,13.68,4.54,52.8,2.97,3
122,5.61,24.07,5.59,33.5,4.29,3
123,4.78,18.29,4.76,46.1,3.81,3
124,6.23,16.91,6.21,57.3,2.72,3
125,4.95,22.74,4.93,39.8,4.63,3
126,5.14,15.97,5.12,43.4,3.09,3
127,4.8,21.12,4.78,59.1,4.41,3
128,6.04,15.01,6.02,36.5,2.48,3
129,4.67,17.18,4.65,49.4,3.67,3
130,5.82,16.84,5.8,40.7,2.89,3
131,6.25,30.49,6.23,54,4.87,3
132,4.98,19.5,4.96,47.3,3.9,3
133,5.54,18.16,5.46,38.2,3.32,3
134,6.19,33.27,6.17,31.8,5.41,3
135,4.7,12.54,4.68,55.5,2.68,3
136,5.96,23.84,5.94,34.1,4.01,3
137,4.42,16.58,4.4,42.2,3.74,3
138,6.35,18.73,6.33,50.9,2.94,3
139,5.01,22.59,5,37.6,4.51,3
140,5.48,17.94,5.46,45.8,3.27,3
141,4.53,18.71,4.51,40,4.12,3
142,6.08,17.05,6.06,53.2,2.81,3
143,4.86,17.52,4.84,48.1,3.59,3
144,5.3,25.88,5.28,35.7,4.84,3
145,6.45,15.57,6.43,58.9,2.42,3
146,4.64,20.43,4.62,41.1,4.37,3
147,5.79,17.72,5.77,33.8,3.05,3
148,4.91,19.64,4.89,46.4,3.99,3
149,6.32,32.94,6.3,52.1,5.18,3
150,5.04,14.11,5.02,57.7,2.79,3
